No,Soal,Opsi,Kunci
78,"Hukum bacaan nun sukun atau tanwin yang dibaca jelas dan terang tanpa dengung disebut... . Izhar;idgham;ikhfa';iqlab","Izhar"
79,"Perhatikan potongan ayat berikut: سَمِيعٌ بَصِيرٌ Tanwin pada ayat di atas bertemu huruf ba' (ب). Maka hukumnya adalah... . iqlab;idgham;izhar;ikhfa'","iqlab"
80,"Yang termasuk huruf-huruf ikhfa' adalah... . م، و، ي، ر;ا، ه، ع، غ;ق، ك، ل، م;ت، ث، ج، د","ت، ث، ج، د"
81,"Bacaan idgham bighunnah terjadi jika nun sukun atau tanwin bertemu huruf... . ba;wau, mim, nun, ya;'ain, ghain, kha, kho;lam atau ro","wau, mim, nun, ya"
82,"Hukum bacaan mim sukun ketika bertemu huruf ba' (ب) adalah... . idgham Mimi;iqlab;ikhfa syafawi;izhar syafawi","ikhfa syafawi"
83,"Perhatikan kata berikut ini: هُمْ مُّفْلِحُونَ Bacaan mim sukun bertemu mim seperti pada contoh di atas termasuk... izhar syafawi;idgham mimi;ikhfa syafawi;iqlab","idgham mimi"
84,"Yang termasuk huruf-huruf hukum mim sukun adalah... . hanya ba dan mim;ba, ya, nun, mim, waw;alif, mim, ba;mim, ba, dan selainnya","mim, ba, dan selainnya"
85,"Berhenti karena terpaksa. Hal ini dapat dilakukan untuk penghujung setiap suku kata, selagi tidak merusak makna atau i'rab, dan mengulangi lagi dari kata yang cocok disebut waqaf ... . Ihtibari;Idtirari;Ihtiyari;Intizari","Idtirari"
86,"Perhatikan lafaz berikut: يَقْتُلُونَ Huruf ق pada kata di atas dibaca dengan hukum... idgham;qolqolah kubra;ikhfa;qolqolah sughra","qolqolah sughra"
87,"Perhatikan kata di bawah ini! mengandung hukum bacaan ... . Gambar Tanpa Teks mad lazim musaqalharfi;mad 'arid lissukun;mad lazim mukhaffafkilmi;mad lazim musaqalkilmi","mad 'arid lissukun"
88,"Idgham mislain adalah salah satu jenis tajwid yang masuk ke dalam hukum bacaan mim mati. Hukum bacaan ini memiliki beberapa nama, di antaranya idgham mimi, idgham syafawi, dan idgham mutamatsilain. Idgam mislain hanya mempunyai satu huruf yaitu ... . ba;nun;mim;lam","mim"
89,"Dibaca Mad Lazim Musaqalkilmi apabila mad bertemu ... . hamzah pada lain kata;tasdid pada lain kata;tasdid dalam satu kata;hamzah dalam satu kata","tasdid dalam satu kata"
90,"Tempat keluarnya huruf dari bibir yaitu huruf ... . fa, ba, mim, wa;alif, ha, kha, kho, 'ain,ghain;lam, nun, ya, kho, syin;qof dan kaf","fa, ba, mim, wa"
91,"Perhatikan lafaz berikut ini: سَمِيعٌ بَصِيرٌ Bacaan tanwin pada kata سَمِيعٌ yang bertemu ba menunjukkan hukum... idgham;iqlab;izhar;ikhfa","iqlab"
92,"Perhatikan ayat dibawah ini ! Translite arab latin berbunyi ... . Gambar Tanpa Teks Iyyāka na'budu wa iyyāka nasta'ῑn(u).;Iyyaka na'budu wa iyyaka nasta'in(u);Iyyaka na'budu wa iyyaka nasta'in(u).;Iyyaka na'budu wa iyyaaka nasta'iin(u).","Iyyaka na'budu wa iyyaka nasta'in(u)"
93,"Perhatikan ayat di bawah ini! Translite arab latin berbunyi ... . Gambar Tanpa Teks Ihdinas-siraatal-mustaqiim(a),;Ihdinas-s}ira>tal-mustaqi>m(a),;Ihdinas}-s}irat}al-mustaqi>m(a),;Ihdinas-siratal-mustaqim(a),","Ihdinas-siratal-mustaqim(a),"
94,"Perhatikan potongan ayat berikut: مِنْ صِينٍ Hukum bacaan nun sukun pada kata tersebut adalah ... izhar;idgham bilaghunnah;ikhfa;idgham bighunnah","ikhfa"
95,"Apa yang dimaksud dengan Mad Jaiz Munfasil? mad yang terjadi saat berhenti di akhir ayat;mad yang dibaca 6 harakat wajib;mad yang terjadi pada akhir kata, lalu bertemu hamzah di awal kata berikutnya;mad yang terjadi dalam satu kata karena bertemu huruf hamzah","mad yang terjadi pada akhir kata, lalu bertemu hamzah di awal kata berikutnya"
96,"Perhatikan potongan ayat berikut: مِنْ صِينٍ Hukum bacaan nun sukun pada kata tersebut adalah ... izhar;idgham bilaghunnah;ikhfa;idgham bighunnah","ikhfa"
97,"Ciri-ciri bacaan ikhfa adalah ... . dibaca jelas dan ditekan;dibaca jelas tanpa dengung;dilebur tanpa dengung;dibaca samar-samar dengan dengung","dibaca samar-samar dengan dengung"
98,"Berikut ini yang termasuk huruf qolqolah sughra adalah ... . ب pada يَكْسِبُ;د pada قَدْ أَفْلَحَ;ق pada يَقُولُ;ط pada الطَّامَّةُ","د pada قَدْ أَفْلَحَ"
99,"Dalam ayat وَمَا أَدْرَاكَ, huruf د dibaca memantul karena ... dibaca panjang;karena hurufnya tebal;karena diikuti oleh huruf alif;termasuk huruf qalqalah dan berharkat sukun karena waqaf","termasuk huruf qalqalah dan berharkat sukun karena waqaf"
100,"Yang termasuk huruf mad dalam bacaan Mad Thobi'i adalah... alif mati, waw berharakat dhammah, ya berharakat kasrah;alif hidup, waw mati, ya mati;alif mati setelah fathah, waw mati setelah dhammah, ya mati setelah kasrah;huruf yang berharakat sukun","alif mati setelah fathah, waw mati setelah dhammah, ya mati setelah kasrah"
